Cab Name,Source Lang,Target Lang,Lang Group:,FOD Area:,Installed based on
Microsoft-Windows-LanguageFeatures-Basic-af-za-Package.cab,af-za,af-za,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-AE,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-BH,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-DJ,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-DZ,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-EG,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-ER,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-IL,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-IQ,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-JO,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-KM,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-KW,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-LB,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-LY,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-MA,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-MR,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-OM,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-PS,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-QA,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-SA,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-SD,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-SO,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-SS,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-SY,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-TD,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-TN,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ar-sa-Package.cab,ar-sa,ar-YE,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-as-in-Package.cab,as-in,as-in,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-az-latn-az-Package.cab,az-latn-az,az-latn-az,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ba-ru-Package.cab,ba-ru,ba-ru,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-be-by-Package.cab,be-by,be-by,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-bg-bg-Package.cab,bg-bg,bg-bg,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-bn-bd-Package.cab,bn-bd,bn-bd,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-bn-in-Package.cab,bn-in,bn-in,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-bs-latn-ba-Package.cab,bs-latn-ba,bs-latn-ba,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-ca-es-Package.cab,ca-es,ca-es,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-cs-cz-Package.cab,cs-cz,cs-cz,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-cy-gb-Package.cab,cy-gb,cy-gb,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-da-dk-Package.cab,da-dk,da-dk,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-de-de-Package.cab,de-de,de-de,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-de-de-Package.cab,de-de,de-AT,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-de-de-Package.cab,de-de,de-LI,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-de-de-Package.cab,de-de,de-LU,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-de-de-Package.cab,de-de,de-CH,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-el-gr-Package.cab,el-gr,el-gr,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-en-gb-Package.cab,en-gb ,en-au,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-en-gb-Package.cab,en-gb,en-in,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-en-gb-Package.cab,en-gb,en-gb,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-en-us-Package.cab,en-us,en-us,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-en-us-Package.cab,en-us,en-ca,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-en-us-Package.cab,en-us,ar-sa,,Basic Lang,Language Profile list
Microsoft-Windows-LanguageFeatures-Basic-en-us-Package.cab,en-us,bg-bg,,Basic Lang,Language Profile list
